Position,Red,Green,Blue,Lux,Temperature
43,156.48,46.36,46.36,-3,2519
43,167.34,43.83,43.83,-4,2388
43,163.46,45.77,52.31,-2,2610
43,154.82,45.54,54.64,-2,2735
44,135.18,58.37,61.45,1,3122
44,148.06,51.41,51.41,-2,2713
44,159.10,45.77,45.77,-5,2487
44,168.85,41.35,44.80,-6,2401
44,160.12,47.44,53.37,-2,2661
44,148.06,57.58,57.58,0,2872
45,122.07,62.39,65.11,4,3469
45,144.20,54.64,51.61,0,2740
45,164.91,42.75,42.75,-12,2414
45,173.04,39.46,42.50,-8,2326
45,153.00,51.00,51.00,-1,2661
45,139.09,61.82,61.82,0,3084
46,111.09,70.69,65.64,10,3642
46,139.42,57.20,53.62,4,2856
46,178.19,36.87,38.92,-27,2218
46,170.97,40.57,43.47,-8,2343
46,138.59,55.43,55.43,0,2915
46,116.57,65.57,58.29,3,3296
47,105.43,78.46,63.75,17,3694
47,101.67,73.79,69.69,39,4002
47,180.54,34.68,37.23,-61,2172
47,130.56,59.16,55.08,5,2998
47,103.59,75.70,63.75,9,3735
47,87.93,79.14,70.34,5,4439
48,255.00,0.00,0.00,0,1391
48,127.50,57.95,52.16,2,2949
48,136.77,59.67,50.41,35,2802
48,179.19,34.46,41.35,-4,2270
48,170.00,42.50,42.50,0,2343
48,255.00,127.50,127.50,0,1391
49,144.73,55.14,55.14,0,2842
49,146.63,51.00,51.00,0,2716
49,151.62,48.24,48.24,-1,2603
49,159.38,47.81,47.81,-1,2534
49,155.22,44.35,55.43,-2,2661
49,155.83,56.67,56.67,0,2776
50,139.64,54.64,60.71,0,3047
50,141.67,56.67,51.00,1,2762
50,149.27,49.76,49.76,-1,2661
50,157.50,45.00,45.00,-1,2479
50,153.00,51.00,51.00,0,2661
50,155.83,56.67,56.67,0,2776
51,133.04,60.98,60.98,1,3137
51,140.00,55.00,55.00,0,2887
51,146.49,54.26,48.83,0,2661
51,160.29,51.00,51.00,-1,2603
51,163.20,51.00,51.00,0,2661
51,147.63,53.68,53.68,0,2661
52,135.00,60.00,65.00,0,3225
52,139.53,57.74,52.92,1,2836
52,148.75,53.13,53.13,0,2751
52,158.51,48.24,48.24,-1,2550
52,153.00,51.00,51.00,0,2661
52,153.00,51.00,51.00,0,2661
53,115.16,65.81,65.81,4,3568
53,132.22,61.39,56.67,2,3023
53,146.39,51.94,51.94,0,2742
53,149.27,55.98,49.76,0,2661
53,151.11,47.22,56.67,-1,2819
53,148.75,53.13,53.13,0,2751
54,117.16,68.92,65.47,6,3520
54,136.74,59.13,55.43,2,2935
54,142.68,54.64,51.61,0,2769
54,157.64,51.00,51.00,-1,2623
54,144.73,55.14,55.14,0,2842
54,131.61,65.81,57.58,2,3057
55,125.18,69.55,55.64,6,3084
55,130.40,63.75,55.06,6,2999
55,146.53,53.28,51.38,0,2726
55,163.08,47.44,47.44,-4,2499
55,132.40,63.75,53.94,3,2943
55,115.16,65.81,57.58,2,3296
56,196.15,39.23,39.23,-1,2153
56,150.68,57.95,46.36,0,2563
56,213.04,19.37,29.05,-18,1859
56,189.32,34.77,38.64,-9,2105
56,153.00,51.00,51.00,0,2661
56,148.75,63.75,42.50,0,2479
57,133.04,55.43,66.52,0,3296
57,139.09,57.95,57.95,0,2978
57,133.57,60.71,60.71,0,3122
57,141.67,56.67,56.67,0,2915
57,136.00,51.00,51.00,0,2819
57,148.75,63.75,63.75,0,3023
58,132.60,61.20,61.20,0,3149
58,133.04,55.43,55.43,0,2978
58,139.09,57.95,57.95,0,2978
58,141.67,56.67,56.67,0,2915
58,153.00,51.00,51.00,0,2661
58,148.75,63.75,63.75,0,3023
59,141.67,56.67,66.11,0,3169
59,132.60,61.20,51.00,1,2856
59,138.13,53.13,53.13,0,2856
59,140.25,51.00,51.00,0,2776
59,143.44,63.75,63.75,0,3084
59,156.92,58.85,58.85,0,2819
60,127.50,59.50,59.50,1,3169
60,137.31,58.85,58.85,0,3023
60,141.67,56.67,56.67,0,2915
60,142.80,61.20,51.00,1,2751
60,141.67,56.67,56.67,0,2776
60,153.00,51.00,51.00,0,2661
61,144.13,55.43,55.43,0,2856
61,145.71,48.57,48.57,0,2661
61,159.38,53.13,53.13,0,2661
61,155.22,55.43,44.35,0,2479
61,165.00,45.00,45.00,-1,2430
61,170.00,51.00,51.00,0,2534
62,150.68,57.95,57.95,0,2856
62,153.00,51.00,51.00,0,2661
62,150.00,52.50,52.50,0,2724
62,162.27,54.09,46.36,0,2479
62,166.30,44.35,44.35,-1,2407
62,170.00,56.67,56.67,0,2430
63,180.00,45.00,45.00,-1,2343
63,156.92,49.04,49.04,0,2581
63,193.45,35.17,35.17,-3,2083
63,198.33,28.33,37.78,-5,2116
63,177.39,33.26,44.35,-3,2343
63,175.31,47.81,47.81,-1,2430
64,212.50,21.25,42.50,-3,2153
64,187.00,34.00,34.00,-1,2083
64,212.50,28.33,28.33,-3,1899
64,208.64,23.18,34.77,-4,2026
64,182.14,36.43,36.43,-1,2153
64,170.00,56.67,56.67,0,2661
65,136.00,68.00,68.00,0,3296
65,127.50,72.86,54.64,1,3023
65,127.50,72.86,54.64,1,3023
65,127.50,63.75,63.75,0,3296
65,153.00,51.00,51.00,0,2661
65,141.67,56.67,56.67,0,2915
66,136.00,68.00,68.00,0,3296
66,136.00,68.00,51.00,1,2819
66,136.00,68.00,51.00,1,2819
66,127.50,54.64,54.64,0,3023
66,127.50,63.75,63.75,0,3296
66,153.00,51.00,51.00,0,2661
67,143.44,63.75,63.75,0,3084
67,135.00,60.00,60.00,0,3084
67,143.44,63.75,63.75,0,3084
67,143.44,63.75,63.75,0,3084
67,137.31,58.85,58.85,0,2819
67,139.09,46.36,69.55,0,3296
68,150.00,60.00,60.00,0,2915
68,143.44,63.75,47.81,1,2661
68,135.00,60.00,60.00,0,3084
68,150.00,60.00,60.00,0,2915
68,153.00,51.00,51.00,0,2661
68,148.75,63.75,63.75,0,3023
69,147.63,53.68,53.68,0,2776
69,147.63,53.68,53.68,0,2776
69,144.13,55.43,55.43,0,2856
69,148.75,53.13,53.13,0,2751
69,153.00,51.00,51.00,0,2661
69,153.00,51.00,51.00,0,2534
70,159.38,47.81,47.81,0,2534
70,141.67,56.67,42.50,0,2534
70,174.47,53.68,53.68,0,2343
70,165.75,38.25,38.25,-1,2270
70,175.31,47.81,47.81,-1,2430
70,163.93,54.64,54.64,0,2237
71,185.45,46.36,46.36,0,2343
71,163.93,54.64,36.43,0,2237
71,200.36,36.43,36.43,-1,2083
71,200.36,36.43,36.43,-1,2083
71,182.14,36.43,36.43,-1,2153
71,170.00,42.50,42.50,0,2343
72,178.50,51.00,51.00,0,2479
72,170.00,56.67,28.33,0,2026
72,198.33,28.33,28.33,-1,1935
72,208.64,23.18,46.36,-2,2237
72,204.00,25.50,51.00,-2,2343
72,191.25,31.88,63.75,-1,2661
